month_order,Date,Year,Month,Day,week,day,quarter,week_order,quarter_order,month_order_2,month_order_6,year_order
1,01-01-2014,2014,1,1,1,Wednesday,2014 Q1,1,1,1,1,1
1,02-01-2014,2014,1,2,1,Thursday,2014 Q1,1,1,1,1,1
1,03-01-2014,2014,1,3,1,Friday,2014 Q1,1,1,1,1,1
1,04-01-2014,2014,1,4,1,Saturday,2014 Q1,1,1,1,1,1
1,05-01-2014,2014,1,5,1,Sunday,2014 Q1,1,1,1,1,1
1,06-01-2014,2014,1,6,2,Monday,2014 Q1,2,1,1,1,1
1,07-01-2014,2014,1,7,2,Tuesday,2014 Q1,2,1,1,1,1
1,08-01-2014,2014,1,8,2,Wednesday,2014 Q1,2,1,1,1,1
1,09-01-2014,2014,1,9,2,Thursday,2014 Q1,2,1,1,1,1
1,10-01-2014,2014,1,10,2,Friday,2014 Q1,2,1,1,1,1
1,11-01-2014,2014,1,11,2,Saturday,2014 Q1,2,1,1,1,1
1,12-01-2014,2014,1,12,2,Sunday,2014 Q1,2,1,1,1,1
1,13-01-2014,2014,1,13,3,Monday,2014 Q1,3,1,1,1,1
1,14-01-2014,2014,1,14,3,Tuesday,2014 Q1,3,1,1,1,1
1,15-01-2014,2014,1,15,3,Wednesday,2014 Q1,3,1,1,1,1
1,16-01-2014,2014,1,16,3,Thursday,2014 Q1,3,1,1,1,1
1,17-01-2014,2014,1,17,3,Friday,2014 Q1,3,1,1,1,1
1,18-01-2014,2014,1,18,3,Saturday,2014 Q1,3,1,1,1,1
1,19-01-2014,2014,1,19,3,Sunday,2014 Q1,3,1,1,1,1
1,20-01-2014,2014,1,20,4,Monday,2014 Q1,4,1,1,1,1
1,21-01-2014,2014,1,21,4,Tuesday,2014 Q1,4,1,1,1,1
1,22-01-2014,2014,1,22,4,Wednesday,2014 Q1,4,1,1,1,1
1,23-01-2014,2014,1,23,4,Thursday,2014 Q1,4,1,1,1,1
1,24-01-2014,2014,1,24,4,Friday,2014 Q1,4,1,1,1,1
1,25-01-2014,2014,1,25,4,Saturday,2014 Q1,4,1,1,1,1
1,26-01-2014,2014,1,26,4,Sunday,2014 Q1,4,1,1,1,1
1,27-01-2014,2014,1,27,5,Monday,2014 Q1,5,1,1,1,1
1,28-01-2014,2014,1,28,5,Tuesday,2014 Q1,5,1,1,1,1
1,29-01-2014,2014,1,29,5,Wednesday,2014 Q1,5,1,1,1,1
1,30-01-2014,2014,1,30,5,Thursday,2014 Q1,5,1,1,1,1
1,31-01-2014,2014,1,31,5,Friday,2014 Q1,5,1,1,1,1
2,01-02-2014,2014,2,1,5,Saturday,2014 Q1,5,1,1,1,1
2,02-02-2014,2014,2,2,5,Sunday,2014 Q1,5,1,1,1,1
2,03-02-2014,2014,2,3,6,Monday,2014 Q1,6,1,1,1,1
2,04-02-2014,2014,2,4,6,Tuesday,2014 Q1,6,1,1,1,1
2,05-02-2014,2014,2,5,6,Wednesday,2014 Q1,6,1,1,1,1
2,06-02-2014,2014,2,6,6,Thursday,2014 Q1,6,1,1,1,1
2,07-02-2014,2014,2,7,6,Friday,2014 Q1,6,1,1,1,1
2,08-02-2014,2014,2,8,6,Saturday,2014 Q1,6,1,1,1,1
2,09-02-2014,2014,2,9,6,Sunday,2014 Q1,6,1,1,1,1
2,10-02-2014,2014,2,10,7,Monday,2014 Q1,7,1,1,1,1
2,11-02-2014,2014,2,11,7,Tuesday,2014 Q1,7,1,1,1,1
2,12-02-2014,2014,2,12,7,Wednesday,2014 Q1,7,1,1,1,1
2,13-02-2014,2014,2,13,7,Thursday,2014 Q1,7,1,1,1,1
2,14-02-2014,2014,2,14,7,Friday,2014 Q1,7,1,1,1,1
2,15-02-2014,2014,2,15,7,Saturday,2014 Q1,7,1,1,1,1
2,16-02-2014,2014,2,16,7,Sunday,2014 Q1,7,1,1,1,1
2,17-02-2014,2014,2,17,8,Monday,2014 Q1,8,1,1,1,1
2,18-02-2014,2014,2,18,8,Tuesday,2014 Q1,8,1,1,1,1
2,19-02-2014,2014,2,19,8,Wednesday,2014 Q1,8,1,1,1,1
2,20-02-2014,2014,2,20,8,Thursday,2014 Q1,8,1,1,1,1
2,21-02-2014,2014,2,21,8,Friday,2014 Q1,8,1,1,1,1
2,22-02-2014,2014,2,22,8,Saturday,2014 Q1,8,1,1,1,1
2,23-02-2014,2014,2,23,8,Sunday,2014 Q1,8,1,1,1,1
2,24-02-2014,2014,2,24,9,Monday,2014 Q1,9,1,1,1,1
2,25-02-2014,2014,2,25,9,Tuesday,2014 Q1,9,1,1,1,1
2,26-02-2014,2014,2,26,9,Wednesday,2014 Q1,9,1,1,1,1
2,27-02-2014,2014,2,27,9,Thursday,2014 Q1,9,1,1,1,1
2,28-02-2014,2014,2,28,9,Friday,2014 Q1,9,1,1,1,1
3,01-03-2014,2014,3,1,9,Saturday,2014 Q1,9,1,2,1,1
3,02-03-2014,2014,3,2,9,Sunday,2014 Q1,9,1,2,1,1
3,03-03-2014,2014,3,3,10,Monday,2014 Q1,10,1,2,1,1
3,04-03-2014,2014,3,4,10,Tuesday,2014 Q1,10,1,2,1,1
3,05-03-2014,2014,3,5,10,Wednesday,2014 Q1,10,1,2,1,1
3,06-03-2014,2014,3,6,10,Thursday,2014 Q1,10,1,2,1,1
3,07-03-2014,2014,3,7,10,Friday,2014 Q1,10,1,2,1,1
3,08-03-2014,2014,3,8,10,Saturday,2014 Q1,10,1,2,1,1
