salesanalysis,Design,Category_Code,VOCNO
1,Multi Tourmaline              ,,1
1,DIAMOND PENDANT,PN,90
1,DIAMOND RING,RN,90
1,DIAMOND RING,RN,116
1,,,116
1,,,116
1,DIAMOND RING,RN,127
1,DIAMOND BRACELET,BT,11
1,DIAMOND RING,RN,12
1,,,12
1,DIAMOND RING,RN,456
1,DIAMOND EARRING,ER,414
1,DIAMOND BRACELET,BT,433
1,,,390
1,DIAMOND EARRING,ER,390
1,DIAMOND RING,RN,390
1,DIAMOND RING,RN,409
1,DIAMOND BRACELET,BT,386
1,Diamond Bracelet,,434
1,DIAMOND RING,RN,434
1,Diamond Bracelet,,434
1,DIAMOND BANGLE,BN,434
1,GOLD BRACELET WITH COLOR STONE,BT,382
1,DIAMOND RING,RN,382
1,DIAMOND RING,RN,382
1,DIAMOND PENDANT,PN,379
1,GOLD BRACELET WITH MOP,BT,392
1,DIAMOND CHOKER NECKLACE,NK,440
1,DIAMOND CHOKER NECKLACE,NK,440
1,DIAMOND CHOKER NECKLACE,NK,440
1,DIAMOND RING,RN,447
1,DIAMOND EARRING,ER,446
1,GOLD PENDANT,PN,101
1,DIAMOND RING,RN,101
1,GOLD PENDANT,PN,101
1,Diamond Earring,,6
1,DIAMOND,NK,84
1,Multi Tourmaline              ,,68
1,DIAMOND EARRING,ER,116
1,DIAMOND,PN,62
1,Multi Tourmaline              ,,62
1,DIAMOND RING,RN,69
1,DIAMOND RING,RN,69
1,DIAMOND RING,RN,79
1,DIAMOND PENDANT,PN,83
1,DIAMOND RING,RN,83
1,DIAMOND RING,RN,102
1,DIAMOND RING,RN,102
1,DIAMOND EARRING,ER,102
1,DIAMOND BRACELET WITH CHAIN,BT,105
1,DIAMOND BRACELET WITH CHAIN,BT,105
1,DIAMOND BRACELET WITH CHAIN,BT,105
1,DIAMOND BRACELET WITH CHAIN,BT,105
1,DIAMOND BRACELET WITH CHAIN,BT,105
1,Multi Tourmaline              ,,114
1,DIAMOND BRACELET,BR,89
1,DIAMOND PENDANT,PN,115
1,DIAMOND RING,RN,115
1,DIAMOND  RING,RN,115
1,DIAMOND RING,RN,311
1,,,304
1,GOLD EARRING,ER,291
1,Multi Tourmaline              ,,278
1,DIAMOND NECKLACE,NK,303
1,GOLD BRACELET,GB,283
1,DIAMOND RING,RN,289
1,DIAMOND BRACELET,BT,289
1,DIAMOND RING,RN,299
1,DIAMOND RING,RN,301
1,DIAMOND CHOKER NECKLACE,NK,307
1,GOLD NECKLACE,GN,314
1,GOLD BRACELET,GB,314
1,DIAMOND CHOKER NECKLACE,NK,277
1,DIAMOND NECKLACE,NK,166
1,DIAMOND RING,RN,128
1,DIAMOND EARRING,ER,128
1,DIAMOND PENDANT,RN,128
1,DIAMOND BRACELET,BT,128
1,JEWELLERY REPAIRING,REP,140
1,DIAMOND EARRING,,140
1,JEWELLERY REPAIRING,REP,140
1,DIAMOND BRACELET,BT,149
1,DIAMOND PENDANT,PN,149
1,DIAMOND EARRING,ER,151
1,DIAMOND RING,RN,152
1,DIAMOND RING,RN,158
1,DIAMOND RING,RN,134
1,DIAMOND EARRING,ER,141
1,DIAMOND RING,RN,148
1,DIAMOND,BN,2
1,DIAMOND CUFFLINK,CUF,23
1,Multi Tourmaline              ,,10
1,DIAMOND RING,RN,58
1,DIAMOND RING,RN,11
1,DIAMOND RING,RN,11
1,DIAMOND RING,RN,2
1,Multi Tourmaline              ,,4
1,DIAMOND PENDANT,PN,21
1,DIAMOND EARRING,ER,21
1,Multi Tourmaline              ,,36
1,DIAMOND RING,RN,42
1,GOLD RING,RN,47
1,,,51
1,DIAMOND RING,RN,50
1,DIAMOND EARRING,ER,50
1,DIAMOND PENDANT,PN,50
1,DIAMOND EARRING,ER,54
1,DIAMOND PENDANT,PN,54
1,DIAMOND PENDANT,PN,59
1,DIAMOND RING,RN,68
1,GOLD BRACELET,BT,7
1,DIAMOND PENDANT,PN,20
1,DIAMOND BRACELET,BT,9
1,DIAMOND BRACELET,BR,18
1,DIAMOND BRACELET,BT,2
1,DIAMOND RING,RN,2
1,DIAMOND BRACELET,BT,201
1,DIAMOND BRACELET,BT,200
1,DIAMOND RING,RN,202
1,DIAMOND EARRING,ER,202
1,DIAMOND BRACELET,BT,202
1,DIAMOND EARRING,ER,207
1,DIAMOND EARRING,ER,203
1,DIAMOND PENDANT,PN,203
1,DIAMOND RING,RN,203
1,DIAMOND RING,RN,204
1,DIAMOND BRACELET,BT,210
1,DIAMOND PENDANT,PN,211
1,DIAMOND PENDANT,PN,213
1,DIAMOND RING,RN,213
1,DIAMOND EARRING,ER,214
1,DIAMOND RING,RN,219
1,DIAMOND PENDANT,PN,46
1,DIAMOND RING,RN,38
1,DIAMOND PENDANT,PN,38
1,DIAMOND EARRING,ER,38
1,DIAMOND BRACELET,BT,41
1,DIAMOND BRACELET,BT,41
1,DIAMOND PENDANT,PN,41
1,DIAMOND BARACELET,BT,41
1,DIAMOND PENDANT,PN,41
1,DIAMOND PENDANT,PN,41
1,DIAMOND BRACELET,BT,47
1,DIAMOND BANGLE,BN,1
1,DIAMOND CHOKER NECKLACE,NK,12
1,DIAMOND CHOKER NECKLACE,NK,19
1,DIAMOND EARRING,ER,20
1,DIAMOND PENDANT,PN,21
1,DIAMOND EARRING,ER,28
1,Gold Cross Pendant            ,,30
1,Multi Tourmaline              ,,31
1,DIAMOND CHOKER NECKLACE,NK,33
1,DIAMOND,RN,36
1,DIAMOND RING,RN,38
1,Multi Tourmaline              ,,29
1,DIAMOND BRACELET,BT,18
1,DIAMOND RING,RN,1
1,DIAMOND RING BAN,RN,1
1,DIAMOND CUFFLINK,CUF,1
1,DIAMOND BANGLE,BN,1
1,GOLD BANGLE,BN,1
1,DIAMOND EARRING,ER,1
1,DIAMOND BANGLE,BN,15
1,DIAMOND PENDANT,PN,147
1,DIAMOND EARRING,ER,159
1,DIAMOND EARRING,ER,159
1,DIAMOND RING,RN,159
1,DIAMOND EARRING,ER,159
1,DIAMOND PENDANT,PN,159
1,DIAMOND BRACELET,BT,159
1,DIAMOND BRACELET,BT,159
1,DIAMOND BRACELET,BT,159
1,DIAMOND NECKLAE,NK,169
1,DIAMOND BRACELET,BT,7
1,Diamond Ring,,162
1,DIAMOND BRACELET,BT,162
1,DIAMOND PENDANT,PN,57
1,DIAMOND EARRING,ER,58
1,DIAMOND BRACELET,BT,624
1,DIAMOND EARRING,ER,624
1,DIAMOND PENDANT,PN,624
1,DIAMOND RING,RN,624
1,DIAMOND RING,RN,641
1,DIAMOND PENDANT,PN,642
1,Jewellery,,35
1,DIAMOND RING,RN,667
1,,,667
1,DIAMOND RING,RN,601
1,DIAMOND RING,RN,602
1,DIAMOND BRACELET,BT,653
1,DIAMOND BRACELET,BR,653
1,GOLD RING,RN,629
1,GOLD RING,RN,623
1,GOLD NECKLACE,NK,623
1,DIAMOND EARRING,ER,626
1,DIAMOND RING,RN,626
1,DIAMOND PENDANT,PN,626
1,DIAMOND BRACELET,BT,638
1,DIAMOND RING,RN,655
1,DIAMOND RING,RN,657
1,DIAMOND RING,RN,36
1,DIAMOND RING,RN,671
1,DIAMOND BANGLE,BN,660
1,DIAMOND RING,RN,660
1,DIAMOND RING,RN,665
1,DIAMOND RING,RN,670
1,DIAMOND PENDANT,PN,676
1,GOLD BRACELET,BR,9
1,DIAMOND PENDANT,PN,9
1,DIAMOND PENDANT,PN,9
1,GOLD NECKLACE,NK,9
1,DIAMOND RING,RN,10
1,DIAMOND RING,RN,320
1,DIAMOND EARRING,ER,319
1,DIAMOND RING,RN,284
1,,,354
1,DIAMOND BANGLE,BN,347
1,DIAMOND BRACELET,BT,369
1,DIAMOND,NK,285
1,DIAMOND RING,RN,285
1,DIAMOND RING,RN,11
1,DIAMOND RING,RN,296
1,DIAMOND BANGLE,BN,349
1,DIAMOND RING,RN,289
1,DIAMOND BANGLE,BN,297
1,DIAMOND PENDENT,PN,301
1,DIAMOND RING,,304
1,DIAMOND EARRING,ER,311
1,DIAMOND EARRING,ER,322
1,DIAMOND EARRING,ER,322
1,DIAMOND PENDANT,PN,323
1,DIAMOND RING,RN,323
1,DIAMOND EARRING,ER,323
1,DIAMOND BRACELET,BT,323
1,DIAMOND,BT,344
1,DIAMOND CHOKER NECKLACE,NK,353
1,DIAMOND EARRING,ER,356
1,DIAMOND CUFFLINK,CUF,7
1,DIAMOND,PN,91
1,GOLD PENDANT,PN,91
1,DIAMOND RING,RN,77
1,DIAMOND,BT,79
1,Multi Tourmaline              ,,79
1,Multi Tourmaline              ,,79
1,Diamond Pendant,,112
1,GOLD BRACELET,GBT,114
1,DIAMOND PENDANT,PN,119
1,DIAMOND BRACELET,BT,119
1,DIAMOND PENDANT,PN,121
1,,,127
1,DIAMOND RING,RN,127
1,DIAMOND RING BAN,RN,127
1,DIAMOND PENDANT,PN,132
1,GOLD CHAIN (18KT),DIA,132
1,DIAMOND PENDANT,PN,52
1,,,33
1,Diamond Ring,,34
1,DIAMOND BRACELET,BT,221
1,DIAMOND RING,RN,202
1,DIAMOND CHOKER NECKLACE,NK,202
